,0,1,2,3
86,"{'f': 'ripple-vault-client', 'v': 'ripple-vault-client-Ripple'}",Ripple,2.7027027027027026,312
87,"{'f': 'ripple-lib-extensions', 'v': 'ripple-lib-extensions-Ripple'}",Ripple,2.7027027027027026,350
88,"{'f': 'Downloads', 'v': 'Downloads-Ripple'}",Ripple,1.1583011583011582,384080
89,"{'f': 'ripple-data-api', 'v': 'ripple-data-api-Ripple'}",Ripple,2.7027027027027026,3009
90,"{'f': 'ripple-lib', 'v': 'ripple-lib-Ripple'}",Ripple,10.038610038610038,14105
91,"{'f': 'ripple-client-desktop', 'v': 'ripple-client-desktop-Ripple'}",Ripple,10.038610038610038,14633
92,"{'f': 'ripple-lib-java', 'v': 'ripple-lib-java-Ripple'}",Ripple,3.088803088803089,9796
93,"{'f': 'ripple-blobvault', 'v': 'ripple-blobvault-Ripple'}",Ripple,3.861003861003861,5097
94,"{'f': 'ripple-dev-portal', 'v': 'ripple-dev-portal-Ripple'}",Ripple,6.563706563706563,21501
95,"{'f': 'docker-fdb-client', 'v': 'docker-fdb-client-Ripple'}",Ripple,0.7722007722007722,98
96,"{'f': 'ripple-rest', 'v': 'ripple-rest-Ripple'}",Ripple,7.335907335907336,2982
97,"{'f': 'rippled-historical-database', 'v': 'rippled-historical-database-Ripple'}",Ripple,3.088803088803089,2728
98,"{'f': 'rippled-network-crawler', 'v': 'rippled-network-crawler-Ripple'}",Ripple,1.9305019305019304,390
99,"{'f': 'sjcl-extended', 'v': 'sjcl-extended-Ripple'}",Ripple,1.1583011583011582,23
100,"{'f': 'rippled-subtrees', 'v': 'rippled-subtrees-Ripple'}",Ripple,0.3861003861003861,33116
101,"{'f': 'bookshelf-encrypted-fields', 'v': 'bookshelf-encrypted-fields-Ripple'}",Ripple,0.7722007722007722,113
102,"{'f': 'Primecoin', 'v': 'Primecoin'}",BlockchainProjects,0,853344
103,"{'f': 'primecoin', 'v': 'primecoin-Primecoin'}",Primecoin,96.29629629629629,28438
104,"{'f': 'primecoin.gitian.sigs', 'v': 'primecoin.gitian.sigs-Primecoin'}",Primecoin,3.7037037037037033,204
105,"{'f': 'Peercoin', 'v': 'Peercoin'}",BlockchainProjects,0,1168350
106,"{'f': 'peercoin-seeder', 'v': 'peercoin-seeder-Peercoin'}",Peercoin,8.823529411764707,155
107,"{'f': 'peercointools', 'v': 'peercointools-Peercoin'}",Peercoin,11.76470588235294,127
108,"{'f': 'docker-peercoind', 'v': 'docker-peercoind-Peercoin'}",Peercoin,2.941176470588235,54
109,"{'f': 'pywallet', 'v': 'pywallet-Peercoin'}",Peercoin,1.4705882352941175,138
110,"{'f': 'peercoin.gitian.sigs', 'v': 'peercoin.gitian.sigs-Peercoin'}",Peercoin,1.4705882352941175,229
111,"{'f': 'peercoin.net', 'v': 'peercoin.net-Peercoin'}",Peercoin,26.47058823529412,17473
112,"{'f': 'docs', 'v': 'docs-Peercoin'}",Peercoin,1.4705882352941175,750
113,"{'f': 'peercoin', 'v': 'peercoin-Peercoin'}",Peercoin,33.82352941176471,19296
114,"{'f': 'peercoin-address-generator', 'v': 'peercoin-address-generator-Peercoin'}",Peercoin,1.4705882352941175,283
115,"{'f': 'rfcs', 'v': 'rfcs-Peercoin'}",Peercoin,1.4705882352941175,164
116,"{'f': 'peercoin_rpc', 'v': 'peercoin_rpc-Peercoin'}",Peercoin,1.4705882352941175,39
117,"{'f': 'media', 'v': 'media-Peercoin'}",Peercoin,0.0,8018
118,"{'f': 'bitaddress.ppc', 'v': 'bitaddress.ppc-Peercoin'}",Peercoin,7.352941176470589,3944
119,"{'f': 'PeerNova', 'v': 'PeerNova'}",BlockchainProjects,0,145890
120,"{'f': 'Openchain', 'v': 'Openchain'}",BlockchainProjects,0,9691
121,"{'f': 'openchain', 'v': 'openchain-Openchain'}",Openchain,12.5,1864
122,"{'f': 'wallet', 'v': 'wallet-Openchain'}",Openchain,12.5,6635
123,"{'f': 'docs', 'v': 'docs-Openchain'}",Openchain,12.5,693
124,"{'f': 'docker', 'v': 'docker-Openchain'}",Openchain,12.5,24
125,"{'f': 'openchain-js', 'v': 'openchain-js-Openchain'}",Openchain,12.5,226
126,"{'f': 'mongodb-storage', 'v': 'mongodb-storage-Openchain'}",Openchain,25.0,42
127,"{'f': 'sidechain', 'v': 'sidechain-Openchain'}",Openchain,12.5,165
128,"{'f': 'OmniLayer', 'v': 'OmniLayer'}",BlockchainProjects,0,4181571
